dataset;method;SA;MRE;Runtime
5;2;0.308333;0.753426;0.024362
5;3;0.278559;0.755618;8.718386
5;1;2.211922;0.029134;0.023021
5;2;0.587601;0.457452;0.024245
5;3;0.342189;0.854290;8.365415
5;1;2.581928;0.351166;0.028036
5;2;0.470588;0.778358;0.029768
5;3;0.397468;0.817016;8.736310
5;1;1.288894;0.001550;0.023230
5;2;0.832518;0.242637;0.024460
5;3;0.748356;0.433986;9.108039
5;1;1.129994;0.624075;0.023120
5;2;0.928008;0.715049;0.024364
5;3;1.860289;0.374120;8.802222
5;1;0.422441;0.581610;0.023181
5;2;0.534687;0.648573;0.024412
5;3;0.491664;0.614886;8.798109
5;1;0.393427;0.257729;0.023132
5;2;0.235669;0.138068;0.024359
5;3;0.700501;0.177982;8.375370
5;1;2.045292;-0.461571;0.023104
5;2;0.041916;0.871026;0.024316
5;3;0.860693;0.214835;8.416825
5;1;1.754349;-0.477392;0.023062
5;2;0.395652;0.563801;0.024291
5;3;0.559799;0.579537;9.005300
5;1;1.022342;0.472985;0.023644
5;2;0.624324;0.584937;0.024901
5;3;0.637412;0.658372;8.612043
5;1;1.578080;0.246030;0.023142
5;2;0.308333;0.781445;0.024383
5;3;0.454955;0.715062;8.584039
5;1;2.211922;0.189484;0.023163
5;2;0.587601;0.442130;0.024407
5;3;0.336765;0.532566;8.519640
5;1;2.581928;0.351629;0.023243
5;2;0.470588;0.714703;0.024518
5;3;0.754898;0.700156;8.701749
5;1;1.288894;-0.205264;0.023339
5;2;0.832518;0.368469;0.024600
5;3;0.279543;0.719660;8.645700
5;1;1.129994;0.549204;0.023373
5;2;0.928008;0.676673;0.024605
5;3;0.788649;0.418789;8.875783
5;1;0.422441;0.388977;0.023438
5;2;0.534687;0.641291;0.024665
5;3;0.730239;0.644849;8.615006
5;1;0.393427;0.251748;0.023795
5;2;0.235669;0.124431;0.025061
5;3;0.606569;0.297332;8.597131
5;1;2.045292;-0.448139;0.023222
5;2;0.041916;0.861597;0.024462
5;3;0.731850;0.463590;8.703294
5;1;1.754349;-0.561168;0.023155
5;2;0.395652;0.584203;0.024384
5;3;0.315179;0.187042;8.617154
5;1;1.022342;0.384981;0.023521
5;2;0.624324;0.619635;0.024821
5;3;0.318999;0.771972;8.391865
5;1;1.578080;0.029906;0.023095
5;2;0.308333;0.759373;0.024340
5;3;0.208410;0.774696;8.709057
5;1;2.211922;0.184475;0.023275
5;2;0.587601;0.354868;0.024512
5;3;0.374335;0.867102;8.760663
5;1;2.581928;0.442795;0.023525
5;2;0.470588;0.737804;0.024743
5;3;0.648792;0.713876;8.716101
5;1;1.288894;-0.063750;0.024391
5;2;0.832518;0.364682;0.025673
5;3;0.305499;0.738693;8.808982
5;1;1.129994;0.646870;0.023649
5;2;0.928008;0.717329;0.024880
5;3;0.796318;0.600955;9.051539
5;1;0.422441;0.514476;0.023267
5;2;0.534687;0.577239;0.024511
5;3;0.440180;0.686594;8.478974
5;1;0.393427;0.276122;0.023318
5;2;0.235669;0.161819;0.024549
5;3;0.460188;0.164412;8.795485
5;1;2.045292;-0.341759;0.023209
5;2;0.041916;0.884085;0.024430
5;3;0.656302;0.571776;8.304218
5;1;1.754349;-0.718643;0.023479
5;2;0.395652;0.552890;0.024734
5;3;0.409106;0.730450;8.784197
5;1;1.022342;0.459678;0.023214
5;2;0.624324;0.689377;0.024469
5;3;1.156491;0.435512;8.623850
5;1;1.578080;0.190183;0.031223
5;2;0.308333;0.781299;0.032578
5;3;0.438699;0.801133;8.792516
5;1;2.211922;0.167065;0.023271
5;2;0.587601;0.450135;0.024502
5;3;0.479414;0.558954;8.676208
5;1;2.581928;0.304613;0.023170
5;2;0.470588;0.760268;0.024388
5;3;0.415241;0.706745;8.485362
5;1;1.288894;-0.082643;0.023772
5;2;0.832518;0.422123;0.025023
5;3;0.657506;0.595127;8.845762
5;1;1.129994;0.664650;0.023181
5;2;0.928008;0.735737;0.024408
5;3;1.628376;0.230084;8.766551
5;1;0.422441;0.498297;0.023664
5;2;0.534687;0.618769;0.024907
5;3;0.540996;0.643432;8.717049
5;1;0.393427;0.332083;0.023379
5;2;0.235669;0.208381;0.024619
5;3;0.501425;0.285949;8.623239
5;1;2.045292;-0.466974;0.024730
5;2;0.041916;0.847574;0.026593
5;3;0.406444;0.715927;8.623348
5;1;1.754349;-0.455629;0.023228
5;2;0.395652;0.583970;0.024493
5;3;0.665279;-0.559463;8.541431
5;1;1.022342;0.479058;0.023199
5;2;0.624324;0.637581;0.024425
5;3;0.422848;0.802414;8.338989
5;1;1.578080;0.096380;0.023347
5;2;0.308333;0.769461;0.024578
5;3;0.344656;0.691040;8.867665
5;1;2.211922;0.211392;0.023161
5;2;0.587601;0.448213;0.024397
5;3;0.233723;0.532556;8.617615
5;1;2.581928;0.274200;0.023111
5;2;0.470588;0.772463;0.024349
5;3;0.213089;0.802689;8.772850
5;1;1.288894;-0.248044;0.023685
5;2;0.832518;0.340313;0.024956
5;3;0.890597;0.426577;8.611454
5;1;1.129994;0.613931;0.023271
5;2;0.928008;0.690542;0.024525
5;3;1.264503;0.410853;8.694917
5;1;0.422441;0.493273;0.023169
5;2;0.534687;0.665047;0.024391
5;3;0.508526;0.678920;8.523545
5;1;0.393427;0.235284;0.023216
5;2;0.235669;0.230815;0.024445
5;3;0.630133;0.153617;8.720682
5;1;2.045292;-0.264048;0.023185
5;2;0.041916;0.875818;0.024416
5;3;0.198378;0.725573;8.658251
5;1;1.754349;-0.550066;0.023140
5;2;0.395652;0.596797;0.024374
5;3;0.702027;-0.145726;8.800486
5;1;1.022342;0.562507;0.023077
5;2;0.624324;0.578588;0.024307
5;3;0.350008;0.870833;8.738064
5;1;1.578080;0.003376;0.023008
5;2;0.308333;0.815152;0.024223
5;3;0.542243;0.432370;8.618583
5;1;2.211922;0.191384;0.023806
5;2;0.587601;0.441035;0.025061
5;3;0.341230;0.617818;8.435492
5;1;2.581928;0.460152;0.023243
5;2;0.470588;0.710584;0.024492
5;3;0.277884;0.776767;8.736455
5;1;1.288894;-0.320191;0.023223
5;2;0.832518;0.332313;0.024464
5;3;0.222735;0.576168;8.757637
5;1;1.129994;0.627553;0.023143
5;2;0.928008;0.738582;0.024392
5;3;2.286059;0.059815;8.687238
5;1;0.422441;0.340499;0.023145
5;2;0.534687;0.576748;0.024376
5;3;0.617054;0.497138;8.690835
5;1;0.393427;0.253358;0.023101
5;2;0.235669;0.211788;0.024315
5;3;0.649772;0.172156;8.656279
5;1;2.045292;-0.476640;0.023916
5;2;0.041916;0.854483;0.025264
5;3;0.218715;0.636324;8.774167
5;1;1.754349;-0.422612;0.023255
5;2;0.395652;0.573506;0.024496
5;3;0.526567;0.581126;8.903749
5;1;1.022342;0.453181;0.023462
5;2;0.624324;0.644545;0.024691
5;3;1.393505;0.332167;8.619078
5;1;1.578080;0.000245;0.023319
5;2;0.308333;0.754099;0.024566
5;3;0.892388;0.488877;8.705678
5;1;2.211922;0.227594;0.023577
5;2;0.587601;0.346902;0.024817
5;3;0.376861;0.464603;8.523600
5;1;2.581928;0.345054;0.023552
5;2;0.470588;0.750406;0.024790
5;3;0.202714;0.811664;8.443532
5;1;1.288894;-0.108251;0.023169
5;2;0.832518;0.215661;0.024410
5;3;0.645937;0.629522;8.891278
5;1;1.129994;0.540049;0.024157
5;2;0.928008;0.743642;0.025468
5;3;0.460727;0.688416;8.771602
5;1;0.422441;0.466728;0.023289
