dataset;method;SA;MRE;Runtime
1;1;1.151496;0.192780;0.035080
1;2;0.736842;0.338864;0.037437
1;3;0.672351;0.457154;16.474126
1;1;0.461306;0.607462;0.034166
1;2;0.332762;0.385229;0.036422
1;3;0.372350;0.615805;15.973467
1;1;0.736375;0.373206;0.034254
1;2;0.508633;0.403407;0.036513
1;3;0.468650;0.456087;16.141961
1;1;0.489227;0.403227;0.034274
1;2;0.583751;0.280157;0.036501
1;3;0.627606;0.466276;16.160990
1;1;0.319419;0.442180;0.034918
1;2;0.776984;-0.449358;0.037204
1;3;0.474326;-0.002462;15.829427
1;1;0.547883;0.251354;0.034351
1;2;0.398287;0.441539;0.036607
1;3;0.372900;0.503465;16.034280
1;1;0.170175;0.559240;0.034444
1;2;0.420374;0.304287;0.036677
1;3;0.139631;0.702084;16.584652
1;1;0.368598;0.514117;0.034139
1;2;0.482829;0.197923;0.036395
1;3;0.261823;0.606594;16.095919
1;1;0.434807;0.449342;0.044027
1;2;0.428422;0.352009;0.046971
1;3;0.352469;0.422964;16.644602
1;1;0.374432;0.426495;0.034370
1;2;0.263736;0.445294;0.036628
1;3;0.306192;0.365970;16.459542
1;1;1.151496;0.194793;0.034160
1;2;0.736842;0.255763;0.036427
1;3;0.207695;0.589930;16.510200
1;1;0.461306;0.578977;0.034156
1;2;0.332762;0.358310;0.036438
1;3;0.315514;0.641905;16.495498
1;1;0.736375;0.365150;0.034194
1;2;0.508633;0.433927;0.036467
1;3;0.478703;0.481384;16.001018
1;1;0.489227;0.385908;0.034387
1;2;0.583751;0.296093;0.036626
1;3;0.650715;0.470745;16.761212
1;1;0.319419;0.420967;0.034392
1;2;0.776984;-0.376299;0.036661
1;3;0.357529;0.467581;16.163365
1;1;0.547883;0.268370;0.034209
1;2;0.398287;0.432195;0.036454
1;3;0.403040;0.465207;16.072465
1;1;0.170175;0.564893;0.034128
1;2;0.420374;0.354064;0.036364
1;3;0.134533;0.682188;16.562770
1;1;0.368598;0.489771;0.034234
1;2;0.482829;0.181016;0.036484
1;3;0.253813;0.596850;16.923836
1;1;0.434807;0.462453;0.034272
1;2;0.428422;0.363064;0.036532
1;3;0.349678;0.405188;16.278377
1;1;0.374432;0.411802;0.034271
1;2;0.263736;0.463301;0.036521
1;3;0.359783;0.372577;16.080833
1;1;1.151496;0.268406;0.034150
1;2;0.736842;0.311360;0.036388
1;3;0.337080;0.645109;16.863163
1;1;0.461306;0.568812;0.034163
1;2;0.332762;0.384194;0.036429
1;3;0.181743;0.640354;16.380598
1;1;0.736375;0.341903;0.034530
1;2;0.508633;0.402177;0.036801
1;3;0.443595;0.547490;16.517956
1;1;0.489227;0.358805;0.034060
1;2;0.583751;0.271107;0.036275
1;3;0.803465;0.459827;15.648344
1;1;0.319419;0.422424;0.034154
1;2;0.776984;-0.422920;0.036394
1;3;0.364662;0.118853;15.938280
1;1;0.547883;0.272984;0.034005
1;2;0.398287;0.451238;0.036219
1;3;0.356262;0.399605;16.085645
1;1;0.170175;0.573386;0.034520
1;2;0.420374;0.380644;0.036803
1;3;0.212958;0.658773;15.778111
1;1;0.368598;0.497652;0.034181
1;2;0.482829;0.178819;0.036421
1;3;0.275588;0.570681;16.504113
1;1;0.434807;0.447174;0.033927
1;2;0.428422;0.335067;0.036145
1;3;0.273138;0.420389;16.363096
1;1;0.374432;0.405684;0.034148
1;2;0.263736;0.458717;0.036391
1;3;0.365384;0.407808;16.359468
1;1;1.151496;0.194891;0.034170
1;2;0.736842;0.269005;0.036428
1;3;0.262323;0.561726;16.048811
1;1;0.461306;0.573082;0.034279
1;2;0.332762;0.373669;0.036517
1;3;0.387398;0.568804;15.901251
1;1;0.736375;0.321854;0.034176
1;2;0.508633;0.403652;0.036428
1;3;0.478107;0.522328;15.934067
1;1;0.489227;0.389657;0.034989
1;2;0.583751;0.284549;0.037255
1;3;0.719225;0.489044;15.970997
1;1;0.319419;0.430421;0.034237
